ID do veículo,data,tempo de viagem,velocidade média,consumo de combustível,carga transportada,ID do motorista,feedback do cliente
86,2022-03-24 16:50:00,45,50,15,200,105,4.1 
87,2022-03-25 20:40:00,25,60,9,80,106,4.6 
88,2022-03-26 19:35:00,40,40,14,180,107,4.2 
89,2022-03-27 18:30:00,55,35,19,280,108,4.7 
90,2022-03-28 15:05:00,35,50,11,120,101,4.3 
91,2022-03-29 16:40:00,40,45,13,150,102,4.8 
92,2022-03-30 20:30:00,50,40,17,220,104,4.4 
93,2022-03-31 19:25:00,30,55,10,100,103,4.9 
94,2022-04-01 17:50:00,45,50,15,200,105,4.5 
95,2022-04-02 21:40:00,25,60,9,80,106,4.1 
96,2022-04-03 20:35:00,40,40,14,180,107,4.6 
97,2022-04-04 19:30:00,55,35,19,280,108,4.2 
98,2022-04-05 16:05:00,35,50,11,120,101,4.7 
99,2022-04-06 17:40:00,40,45,13,150,102,4.3 
100,2022-04-07 21:30:00,50,40,17,220,104,4.8 
